key,value,timestamp,topic,partition,offset
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.00416919, ""timestamp"": ""2024-12-06T17:52:34.999853Z"", ""timestamp_ms"": 1733503954999}",1733507555286,trades,0,39453
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101110.8, ""volume"": 0.0005066, ""timestamp"": ""2024-12-06T17:52:35.025365Z"", ""timestamp_ms"": 1733503955025}",1733507555313,trades,0,39454
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4034.99, ""volume"": 1.0, ""timestamp"": ""2024-12-06T17:52:35.500845Z"", ""timestamp_ms"": 1733503955500}",1733507555829,trades,0,39455
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4034.99, ""volume"": 2.87470048, ""timestamp"": ""2024-12-06T17:52:35.643932Z"", ""timestamp_ms"": 1733503955643}",1733507555984,trades,0,39456
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101110.9, ""volume"": 0.00075781, ""timestamp"": ""2024-12-06T17:52:37.272109Z"", ""timestamp_ms"": 1733503957272}",1733507557748,trades,0,39457
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101110.9, ""volume"": 0.00015826, ""timestamp"": ""2024-12-06T17:52:37.460554Z"", ""timestamp_ms"": 1733503957460}",1733507557951,trades,0,39458
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.31, ""volume"": 0.13084176, ""timestamp"": ""2024-12-06T17:52:37.818669Z"", ""timestamp_ms"": 1733503957818}",1733507558340,trades,0,39459
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.5, ""volume"": 0.00049428, ""timestamp"": ""2024-12-06T17:52:37.962125Z"", ""timestamp_ms"": 1733503957962}",1733507558511,trades,0,39460
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101132.9, ""volume"": 0.0003205, ""timestamp"": ""2024-12-06T17:52:38.960172Z"", ""timestamp_ms"": 1733503958960}",1733507559577,trades,0,39461
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101133.0, ""volume"": 0.4, ""timestamp"": ""2024-12-06T17:52:38.986902Z"", ""timestamp_ms"": 1733503958986}",1733507559612,trades,0,39462
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.0737996, ""timestamp"": ""2024-12-06T17:52:39.321469Z"", ""timestamp_ms"": 1733503959321}",1733507559970,trades,0,39463
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.0460819, ""timestamp"": ""2024-12-06T17:52:39.321469Z"", ""timestamp_ms"": 1733503959321}",1733507559970,trades,0,39464
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4033.98, ""volume"": 0.01501774, ""timestamp"": ""2024-12-06T17:52:39.538425Z"", ""timestamp_ms"": 1733503959538}",1733507560204,trades,0,39465
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.00052875, ""timestamp"": ""2024-12-06T17:52:40.747379Z"", ""timestamp_ms"": 1733503960747}",1733507561513,trades,0,39466
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.10668092, ""timestamp"": ""2024-12-06T17:52:40.985157Z"", ""timestamp_ms"": 1733503960985}",1733507561769,trades,0,39467
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.31, ""volume"": 0.02751909, ""timestamp"": ""2024-12-06T17:52:42.846138Z"", ""timestamp_ms"": 1733503962846}",1733507563786,trades,0,39468
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4033.97, ""volume"": 0.01812375, ""timestamp"": ""2024-12-06T17:52:43.234421Z"", ""timestamp_ms"": 1733503963234}",1733507564215,trades,0,39469
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4031.71, ""volume"": 0.02398734, ""timestamp"": ""2024-12-06T17:52:43.234421Z"", ""timestamp_ms"": 1733503963234}",1733507564215,trades,0,39470
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4031.41, ""volume"": 0.04955586, ""timestamp"": ""2024-12-06T17:52:43.234421Z"", ""timestamp_ms"": 1733503963234}",1733507564215,trades,0,39471
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4031.39, ""volume"": 0.4085978, ""timestamp"": ""2024-12-06T17:52:43.234421Z"", ""timestamp_ms"": 1733503963234}",1733507564216,trades,0,39472
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.00047714, ""timestamp"": ""2024-12-06T17:52:43.603436Z"", ""timestamp_ms"": 1733503963603}",1733507564606,trades,0,39473
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.00052882, ""timestamp"": ""2024-12-06T17:52:45.199599Z"", ""timestamp_ms"": 1733503965199}",1733507566338,trades,0,39474
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.0005, ""timestamp"": ""2024-12-06T17:52:46.295376Z"", ""timestamp_ms"": 1733503966295}",1733507567522,trades,0,39475
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.5, ""volume"": 0.0005, ""timestamp"": ""2024-12-06T17:52:46.621642Z"", ""timestamp_ms"": 1733503966621}",1733507567875,trades,0,39476
